dfghjk,100,100,100,100,300
sedf,100,100,100,100,300
null,100,100,100,100,300
sertyu,86,72,98,75,240

adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
adwdw,96,96,89,100,0
awdawd,96,100,100,0,290
awdawd,96,100,100,0,290
awdawd,96,100,100,0,285
awdawd,96,100,100,0,285
dfg,96,100,100,0,290
wdf,90,100,100,0,275
rgddrt,92,100,100,0,280
wdq,94,92,97,100,280
jjkk,76,72,100,0,230
